"fecha","userid","action","target","objecttable","objectid"
"2024-06-08 17:54:15","5","deleted","course_section","course_sections","470"
"2024-06-08 17:54:12","5","deleted","course_section","course_sections","469"
"2024-06-08 17:54:08","5","deleted","course_section","course_sections","468"
"2024-06-08 17:54:00","5","deleted","course_section","course_sections","467"
"2024-06-08 17:53:57","5","deleted","course_section","course_sections","466"
"2024-06-08 17:53:55","5","deleted","course_section","course_sections","465"
"2024-06-08 17:53:52","5","deleted","course_section","course_sections","464"
"2024-06-08 17:53:50","5","deleted","course_section","course_sections","463"
"2024-06-08 17:53:45","5","deleted","course_section","course_sections","462"
"2024-06-08 17:48:41","5","deleted","course_section","course_sections","182"
"2024-06-08 17:47:59","5","deleted","course_section","course_sections","451"
"2024-06-08 17:47:11","5","deleted","course_section","course_sections","459"
"2024-06-08 17:47:05","5","deleted","course_section","course_sections","458"
"2024-06-08 17:46:49","5","deleted","course_section","course_sections","457"
"2024-06-08 17:46:45","5","deleted","course_section","course_sections","456"
"2024-06-08 17:46:35","5","deleted","course_section","course_sections","455"
"2024-06-08 17:46:31","5","deleted","course_section","course_sections","454"
"2024-06-08 17:46:24","5","deleted","course_section","course_sections","453"
"2024-06-08 17:45:45","5","deleted","course_section","course_sections","460"
"2024-05-16 19:17:40","3","deleted","course","course","23"
"2024-05-16 19:03:38","5","deleted","course_section","course_sections","454"
"2024-05-16 19:03:33","5","deleted","course_section","course_sections","453"
"2024-05-16 19:03:27","5","deleted","course_section","course_sections","452"
"2024-05-16 19:03:22","5","deleted","course_section","course_sections","451"
"2024-05-13 20:36:41","3","deleted","course","course","49"
"2024-02-11 17:06:59","5","deleted","course_section","course_sections","441"
"2023-12-26 20:09:15","5","deleted","course_section","course_sections","422"
"2023-12-26 20:09:12","5","deleted","course_section","course_sections","421"
"2023-12-26 20:09:09","5","deleted","course_section","course_sections","423"
"2023-12-23 17:14:23","5","deleted","course_section","course_sections","418"
"2023-06-09 11:17:45","5","deleted","course_section","course_sections","320"
"2023-06-09 11:04:23","5","deleted","course_section","course_sections","331"
"2023-02-06 10:40:37","5","deleted","course_section","course_sections","333"
"2022-06-19 14:51:25","45","deleted","course_section","course_sections","230"
"2022-06-15 18:13:57","5","deleted","course_section","course_sections","313"
"2022-06-15 18:13:53","5","deleted","course_section","course_sections","319"
"2022-06-15 18:13:48","5","deleted","course_section","course_sections","314"
"2022-06-15 18:13:46","5","deleted","course_section","course_sections","318"
"2022-06-15 18:13:43","5","deleted","course_section","course_sections","317"
"2022-06-15 18:13:41","5","deleted","course_section","course_sections","316"
"2022-06-15 18:13:38","5","deleted","course_section","course_sections","315"
"2022-06-15 18:13:35","5","deleted","course_section","course_sections","312"
"2022-06-15 18:13:33","5","deleted","course_section","course_sections","311"
"2022-06-15 18:13:30","5","deleted","course_section","course_sections","310"
"2022-06-15 18:13:28","5","deleted","course_section","course_sections","309"
"2022-06-15 18:13:26","5","deleted","course_section","course_sections","308"
"2022-06-15 18:13:23","5","deleted","course_section","course_sections","307"
"2022-06-15 18:13:21","5","deleted","course_section","course_sections","306"
"2022-06-15 18:13:19","5","deleted","course_section","course_sections","305"
"2022-06-15 18:13:17","5","deleted","course_section","course_sections","304"
"2022-06-15 18:13:14","5","deleted","course_section","course_sections","303"
"2022-02-21 21:52:08","3","deleted","course_section","course_sections","120"
"2021-10-07 07:47:34","45","deleted","course_section","course_sections","284"
"2021-10-07 07:47:28","45","deleted","course_section","course_sections","285"
"2021-10-07 07:47:25","45","deleted","course_section","course_sections","283"
"2021-07-07 19:59:27","45","deleted","course_section","course_sections","277"
"2021-07-07 19:59:23","45","deleted","course_section","course_sections","276"
"2021-07-03 21:51:13","45","deleted","course_section","course_sections","266"
"2021-07-03 21:51:02","45","deleted","course_section","course_sections","264"
"2021-07-03 21:50:35","45","deleted","course_section","course_sections","263"
"2021-06-29 18:51:29","5","deleted","course_section","course_sections","251"
"2021-06-20 17:13:21","5","deleted","course_section","course_sections","255"
"2021-06-20 16:50:56","5","deleted","course_section","course_sections","250"
"2021-06-20 16:23:37","5","deleted","course_section","course_sections","243"
"2021-06-20 15:52:45","5","deleted","course_section","course_sections","253"
"2021-06-10 09:31:29","5","deleted","course_section","course_sections","226"
"2021-06-10 09:31:14","5","deleted","course_section","course_sections","225"
"2021-06-09 05:58:18","45","deleted","course_section","course_sections","215"
"2021-06-09 05:26:22","45","deleted","course_section","course_sections","216"
"2021-04-15 20:13:15","53","deleted","course_section","course_sections","188"
"2021-04-15 20:13:12","53","deleted","course_section","course_sections","187"
"2021-02-23 11:02:51","3","deleted","course","course","6"
"2021-02-23 11:02:51","3","deleted","course","course","2"
"2021-02-23 11:02:51","3","deleted","course_category","course_categories","1"
"2021-02-23 11:02:50","3","deleted","course","course","3"
"2021-02-23 11:02:50","3","deleted","course","course","4"
"2021-02-23 11:02:49","3","deleted","course","course","5"
"2021-02-23 11:02:49","3","deleted","course","course","14"
"2021-02-22 14:59:44","45","deleted","course_section","course_sections","74"
"2021-02-22 08:24:57","45","deleted","course_section","course_sections","79"
"2021-02-22 08:24:49","45","deleted","course_section","course_sections","80"
"2021-02-22 08:24:43","45","deleted","course_section","course_sections","78"
"2021-01-09 11:21:14","45","deleted","course_section","course_sections","32"
"2020-11-17 16:23:34","3","deleted","course_category","course_categories","3"
